Operation,Word,Frequency,Time Taken
Add,ufos,785217,4.000000000004e-06
Add,nonnegative,284402,1.3999999999847468e-06
Add,microcircuits,93193,6.999999999923734e-07
Add,erotikfotos,51086,8.999999999981245e-07
Add,cobell,33263,1.1000000000038757e-06
Add,frg,279582,1.000000000001e-06
Add,preaward,36558,1.1000000000038757e-06
Add,ballen,41856,1.1999999999789956e-06
Add,bemidji,607283,1.2000000000067512e-06
Add,foxwood,89650,1.4000000000125024e-06
Add,semipro,45224,1.500000000015378e-06
Add,pinconning,30881,1.6999999999933735e-06
Add,acciaio,31505,1.799999999996249e-06
Add,wwwocarteirobr,30981,1.799999999996249e-06
Add,classmates,2730039,2.000000000002e-06
Add,cutesy,114997,2.1000000000048757e-06
Add,insomniacs,60802,2.1999999999799957e-06
Add,intelistaf,174776,2.300000000010627e-06
Add,stopping,6325995,2.4000000000135024e-06
Add,terrorised,42298,2.500000000016378e-06
Add,belligerent,281789,2.700000000022129e-06
Add,refer,27099706,2.700000000022129e-06
Add,parameterizations,84313,2.9000000000001247e-06
Add,experiment,14781439,2.9000000000001247e-06
Add,ministro,78440,3.0000000000030003e-06
Add,digispan,33466,3.100000000005876e-06
Add,gabardine,91501,3.100000000005876e-06
Add,pkf,104006,3.300000000011627e-06
Add,mikan,77261,3.4000000000145025e-06
Add,axels,33994,3.599999999992498e-06
Add,cgc,906420,3.6999999999953737e-06
Add,eateth,47059,3.800000000026005e-06
Add,apologise,753572,3.7999999999982492e-06
Add,joxer,73697,4.2000000000097515e-06
Add,modulated,774207,4.100000000006876e-06
Add,anniversaire,243500,4.2000000000097515e-06
Add,schwarzenegger,1918820,4.2999999999848715e-06
Add,tsi,508151,4.499999999990623e-06
Add,freelancing,312937,4.499999999990623e-06
Add,fps,2326094,4.699999999996374e-06
Add,titchfield,48049,4.999999999977245e-06
Add,adlandpro,55194,4.799999999999249e-06
Add,dometic,67065,5.0000000000050004e-06
Add,aitlines,44482,5.100000000007876e-06
Add,mushroom,3277331,5.300000000013627e-06
Add,rfio,105375,5.200000000010752e-06
Add,discountsoffers,127301,5.300000000013627e-06
Add,wwwstaplescom,31018,5.399999999988747e-06
Add,igraine,37216,5.599999999994498e-06
Add,caltrans,496631,5.699999999997374e-06
Add,rmu,84208,5.800000000000249e-06
Add,integrations,379112,5.900000000003125e-06
Add,lefever,55720,6.100000000008876e-06
Add,fmw,55511,6.200000000011752e-06
Add,carro,124885,6.299999999986872e-06
Add,salcombe,93410,1.2600000000001499e-05
Add,systeem,79517,6.599999999995498e-06
Add,kronos,692536,6.599999999995498e-06
Add,strate,283603,6.699999999998374e-06
Add,helia,30853,6.8999999999763695e-06
Add,plsql,42940,7.000000000007001e-06
